numerical__income,numerical__name_email_similarity,numerical__prev_address_months_count,numerical__current_address_months_count,numerical__customer_age,numerical__days_since_request,numerical__intended_balcon_amount,numerical__zip_count_4w,numerical__velocity_6h,numerical__velocity_24h,numerical__velocity_4w,numerical__bank_branch_count_8w,numerical__date_of_birth_distinct_emails_4w,numerical__credit_risk_score,numerical__email_is_free,numerical__phone_home_valid,numerical__phone_mobile_valid,numerical__bank_months_count,numerical__has_other_cards,numerical__proposed_credit_limit,numerical__foreign_request,numerical__session_length_in_minutes,numerical__keep_alive_session,numerical__device_distinct_emails_8w,numerical__month,categorical__payment_type_AA,categorical__payment_type_AB,categorical__payment_type_AC,categorical__payment_type_AD,categorical__payment_type_AE,categorical__employment_status_CA,categorical__employment_status_CB,categorical__employment_status_CC,categorical__employment_status_CD,categorical__employment_status_CE,categorical__employment_status_CF,categorical__employment_status_CG,categorical__housing_status_BA,categorical__housing_status_BB,categorical__housing_status_BC,categorical__housing_status_BD,categorical__housing_status_BE,categorical__housing_status_BF,categorical__housing_status_BG,categorical__source_INTERNET,categorical__source_TELEAPP,categorical__device_os_linux,categorical__device_os_macintosh,categorical__device_os_other,categorical__device_os_windows,categorical__device_os_x11
0.0,0.5150597,0.0,0.13647059,0.125,0.00020030886,0.07815023,0.109136656,0.5772689,0.49822828,0.60232675,0.00042698547,0.44444445,0.48956355,0.0,1.0,1.0,0.0625,0.0,0.005235602,0.0,0.03773375,1.0,0.6666667,0.14285715,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.625,0.5856926,0.0,0.0917647,0.5,8.347898e-06,0.29783913,0.15191068,0.10854714,0.6378899,0.65109605,0.0012809564,0.19444445,0.4174573,0.0,1.0,1.0,1.0,1.0,0.005235602,0.0,0.063428275,0.0,0.6666667,0.2857143,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.625,0.079072244,0.0,0.7341176,0.125,0.00017469889,0.26722187,0.16559207,0.32494998,0.5206911,0.6915775,0.0021349273,0.33333334,0.4573055,0.0,0.0,1.0,0.96875,1.0,0.005235602,0.0,0.056939807,0.0,0.6666667,0.14285715,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.875,0.3488029,0.0,0.15058823,0.375,8.131363e-06,0.07830221,0.3458091,0.24375336,0.22825336,0.32601437,0.00085397094,0.22222222,0.7305503,1.0,1.0,1.0,0.09375,1.0,0.42408377,0.0,0.0719249,0.0,0.6666667,0.5714286,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.875,0.5662273,0.31880108,0.030588236,0.25,0.14261518,0.08014975,0.23745872,0.4788839,0.4512339,0.6164048,0.00042698547,0.22222222,0.31499052,1.0,0.0,1.0,0.0,0.0,0.005235602,0.0,0.055716943,0.0,0.0,0.14285715,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.5935678,0.0,0.08705882,0.375,0.00023748499,0.076702446,0.30240604,0.5819231,0.43278158,0.941482,0.013663535,0.33333334,0.6963947,1.0,0.0,1.0,0.78125,0.0,0.68586385,0.0,0.08787875,1.0,0.6666667,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.125,0.116560645,0.0,0.45411766,0.125,0.0003704434,0.077041976,0.25884572,0.5849967,0.5097985,0.3425011,0.006404782,0.2777778,0.2865275,0.0,0.0,1.0,0.625,0.0,0.005235602,0.0,0.027665002,1.0,0.6666667,0.71428573,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.8602983,0.0,0.06823529,0.375,0.2775539,0.077454,0.3085391,0.39947993,0.4992267,0.68848807,0.00042698547,0.055555556,0.21062618,0.0,1.0,1.0,0.0,0.0,0.005235602,0.0,0.14483692,0.0,0.6666667,0.2857143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.625,0.41783437,0.08446866,0.030588236,0.25,5.4940127e-05,0.07894538,0.2020758,0.3775736,0.43100172,0.32768315,0.0,0.22222222,0.7495256,0.0,0.0,1.0,0.0,1.0,0.68586385,0.0,0.033146475,1.0,0.6666667,0.5714286,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.14507663,0.0,0.16235293,0.125,0.00017195629,0.08446235,0.20820884,0.13815093,0.14737609,0.14061014,0.0038428693,0.22222222,0.5199241,1.0,0.0,1.0,0.96875,0.0,0.16230367,0.0,0.07514386,0.0,1.0,0.71428573,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.75,0.43853235,0.0,0.44470587,0.375,0.00020672704,0.08332311,0.12847932,0.24523352,0.8184822,0.35290095,0.009820666,0.11111111,0.8975332,1.0,0.0,1.0,0.5,1.0,0.68586385,0.0,0.2800816,0.0,0.6666667,0.5714286,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.52709496,0.0,0.19058824,0.375,0.00026000696,0.08389493,0.030979713,0.09058501,0.16430868,0.05219784,0.00042698547,0.22222222,0.84440225,1.0,0.0,1.0,0.0625,0.0,0.42408377,0.0,0.09496495,0.0,0.6666667,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
