numerical__income,numerical__name_email_similarity,numerical__prev_address_months_count,numerical__current_address_months_count,numerical__customer_age,numerical__days_since_request,numerical__intended_balcon_amount,numerical__zip_count_4w,numerical__velocity_6h,numerical__velocity_24h,numerical__velocity_4w,numerical__bank_branch_count_8w,numerical__date_of_birth_distinct_emails_4w,numerical__credit_risk_score,numerical__email_is_free,numerical__phone_home_valid,numerical__phone_mobile_valid,numerical__bank_months_count,numerical__has_other_cards,numerical__proposed_credit_limit,numerical__foreign_request,numerical__session_length_in_minutes,numerical__keep_alive_session,numerical__device_distinct_emails_8w,numerical__month,categorical__payment_type_AA,categorical__payment_type_AB,categorical__payment_type_AC,categorical__payment_type_AD,categorical__payment_type_AE,categorical__employment_status_CA,categorical__employment_status_CB,categorical__employment_status_CC,categorical__employment_status_CD,categorical__employment_status_CE,categorical__employment_status_CF,categorical__employment_status_CG,categorical__housing_status_BA,categorical__housing_status_BB,categorical__housing_status_BC,categorical__housing_status_BD,categorical__housing_status_BE,categorical__housing_status_BF,categorical__housing_status_BG,categorical__source_INTERNET,categorical__source_TELEAPP,categorical__device_os_linux,categorical__device_os_macintosh,categorical__device_os_other,categorical__device_os_windows,categorical__device_os_x11
1.0,0.61150867,0.0,0.22823529,0.25,0.00011961386,0.080493495,0.07579808,0.06742218,0.1599579,0.06517389,0.0042698546,0.30555555,0.44971538,1.0,0.0,1.0,0.0625,1.0,0.005235602,0.0,0.04624777,0.0,0.6666667,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.875,0.39224845,0.081743866,0.028235294,0.25,0.00013507427,0.07903399,0.25664413,0.4601748,0.39198905,0.5179276,0.00085397094,0.2777778,0.5294118,1.0,0.0,1.0,0.96875,1.0,0.16230367,1.0,0.0734388,0.0,0.6666667,0.5714286,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.625,0.058542255,0.15531336,0.02117647,0.125,6.6013904e-06,0.21881713,0.41311526,0.23336653,0.43555173,0.6633271,0.015371477,0.5555556,0.3946869,0.0,1.0,1.0,0.09375,0.0,0.005235602,0.0,0.06251064,0.0,0.6666667,0.2857143,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.9165284,0.0,0.17882353,0.125,0.00012612679,0.08079353,0.42160717,0.34664983,0.3461439,0.331821,0.0076857386,0.25,0.36812145,0.0,0.0,0.0,0.96875,0.0,0.005235602,0.0,0.03779363,0.0,0.6666667,0.14285715,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.11988356,0.0,0.19764706,0.5,0.017082652,0.27427855,0.25129738,0.16068083,0.3206262,0.64777035,0.0038428693,0.055555556,0.5559772,1.0,0.0,1.0,0.65625,0.0,0.16230367,1.0,0.22690007,0.0,1.0,0.5714286,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.041276343,0.3705722,0.002352941,0.375,6.5824504e-05,0.078191556,0.016826546,0.20242617,0.36290583,0.07042757,0.0,0.16666667,0.62808347,0.0,0.0,1.0,0.0,0.0,0.005235602,0.0,0.04141517,0.0,0.6666667,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.75,0.9418403,0.0,0.25411764,0.375,0.0004450117,0.07852406,0.5626671,0.4388464,0.4137982,0.6635612,0.005977797,0.1388889,0.43833017,1.0,1.0,1.0,0.8125,1.0,0.005235602,0.0,0.06696119,1.0,0.6666667,0.2857143,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.9921988,0.089918256,0.016470589,0.125,0.0001726417,0.07843897,0.15898727,0.93332994,0.9507197,0.5999219,0.0025619129,0.19444445,0.34155598,1.0,0.0,1.0,0.375,0.0,0.005235602,0.0,0.100923054,1.0,0.6666667,0.2857143,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.28108755,0.07901908,0.002352941,0.25,8.8095614e-05,0.08294698,0.13697122,0.07876522,0.2271872,0.34597617,0.013663535,0.30555555,0.686907,1.0,0.0,1.0,0.9375,0.0,0.16230367,0.0,0.03391051,0.0,0.6666667,0.85714287,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.122687474,0.0,0.08235294,0.375,9.360832e-05,0.07843739,0.17298317,0.06768181,0.20560835,0.20645477,0.5700256,0.083333336,0.516129,1.0,0.0,1.0,0.0625,0.0,0.005235602,0.0,0.048621867,1.0,0.6666667,0.85714287,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.75,0.4497707,0.10081744,0.016470589,0.0,0.0002675492,0.07889864,0.12203176,0.25612712,0.7756327,0.85787964,0.00042698547,0.22222222,0.43833017,0.0,1.0,0.0,1.0,0.0,0.005235602,0.0,0.15002704,0.0,1.0,0.2857143,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.875,0.8717622,0.0,0.105882354,0.375,0.0003680385,0.8985377,0.6935053,0.44993111,0.45359465,0.9658873,0.8403074,0.1388889,0.37950665,0.0,1.0,1.0,0.09375,0.0,0.005235602,0.0,0.2663232,1.0,0.6666667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.125,0.1629071,0.0,0.21411765,0.375,9.6816606e-05,0.078826524,0.11825759,0.8817582,0.6337006,0.5633824,0.0,0.083333336,0.40417457,0.0,1.0,0.0,0.0,0.0,0.005235602,0.0,0.24795954,1.0,1.0,0.2857143,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.7207609,0.0,0.21176471,0.125,0.00013192953,0.45633733,0.13429785,0.47866148,0.58926916,0.9587718,0.0012809564,0.41666666,0.62618595,0.0,0.0,1.0,0.5,0.0,0.005235602,0.0,0.062244665,1.0,0.6666667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.875,0.87864023,0.0,0.18588236,0.25,0.00019201521,0.08166129,0.1026891,0.46037474,0.46287495,0.6691291,0.0072587533,0.19444445,0.33396584,1.0,0.0,1.0,0.0625,0.0,0.005235602,0.0,0.06688675,1.0,0.6666667,0.2857143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.9957405,0.17166212,0.030588236,0.25,0.25529036,0.5052066,0.12737852,0.053950503,0.25855914,0.5757295,0.0029888984,0.5833333,0.66603416,1.0,0.0,1.0,0.5,0.0,0.41884816,0.0,0.11968155,1.0,0.6666667,0.5714286,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.625,0.99695086,0.52316076,0.08470588,0.25,0.00023304056,0.07869567,0.43906274,0.33025706,0.31136143,0.46644947,0.00042698547,0.41666666,0.7988615,0.0,0.0,1.0,0.1875,1.0,0.68586385,0.0,0.036846995,1.0,0.6666667,0.42857143,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.54164815,0.0,0.12,0.125,0.014383284,0.31531572,0.15285422,0.30434874,0.2713701,0.2056287,0.0021349273,0.25,0.6736243,1.0,1.0,0.0,0.65625,0.0,0.16230367,0.0,0.33113694,0.0,0.6666667,0.85714287,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
